Data,Ora,price,date,datetime
03/01/2018,24,44.15,2018-01-03,2018-01-04T00:00:00.000000+0100
04/01/2018,1,32.5,2018-01-04,2018-01-04T01:00:00.000000+0100
04/01/2018,2,23.23,2018-01-04,2018-01-04T02:00:00.000000+0100
04/01/2018,3,18.22,2018-01-04,2018-01-04T03:00:00.000000+0100
04/01/2018,4,17.3,2018-01-04,2018-01-04T04:00:00.000000+0100
04/01/2018,5,18.39,2018-01-04,2018-01-04T05:00:00.000000+0100
04/01/2018,6,33.67,2018-01-04,2018-01-04T06:00:00.000000+0100
04/01/2018,7,44.39,2018-01-04,2018-01-04T07:00:00.000000+0100
04/01/2018,8,49.78,2018-01-04,2018-01-04T08:00:00.000000+0100
04/01/2018,9,50.25,2018-01-04,2018-01-04T09:00:00.000000+0100
04/01/2018,10,50.8,2018-01-04,2018-01-04T10:00:00.000000+0100
04/01/2018,11,50.0,2018-01-04,2018-01-04T11:00:00.000000+0100
04/01/2018,12,49.78,2018-01-04,2018-01-04T12:00:00.000000+0100
04/01/2018,13,46.85,2018-01-04,2018-01-04T13:00:00.000000+0100
04/01/2018,14,46.5,2018-01-04,2018-01-04T14:00:00.000000+0100
04/01/2018,15,48.42,2018-01-04,2018-01-04T15:00:00.000000+0100
04/01/2018,16,50.57,2018-01-04,2018-01-04T16:00:00.000000+0100
04/01/2018,17,51.25,2018-01-04,2018-01-04T17:00:00.000000+0100
04/01/2018,18,55.0,2018-01-04,2018-01-04T18:00:00.000000+0100
04/01/2018,19,55.0,2018-01-04,2018-01-04T19:00:00.000000+0100
04/01/2018,20,54.1,2018-01-04,2018-01-04T20:00:00.000000+0100
04/01/2018,21,51.97,2018-01-04,2018-01-04T21:00:00.000000+0100
04/01/2018,22,47.97,2018-01-04,2018-01-04T22:00:00.000000+0100
04/01/2018,23,44.89,2018-01-04,2018-01-04T23:00:00.000000+0100
04/01/2018,24,37.1,2018-01-04,2018-01-05T00:00:00.000000+0100
05/01/2018,1,44.15,2018-01-05,2018-01-05T01:00:00.000000+0100
05/01/2018,2,39.8,2018-01-05,2018-01-05T02:00:00.000000+0100
05/01/2018,3,31.98,2018-01-05,2018-01-05T03:00:00.000000+0100
05/01/2018,4,30.12,2018-01-05,2018-01-05T04:00:00.000000+0100
05/01/2018,5,34.5,2018-01-05,2018-01-05T05:00:00.000000+0100
05/01/2018,6,40.7,2018-01-05,2018-01-05T06:00:00.000000+0100
05/01/2018,7,48.99,2018-01-05,2018-01-05T07:00:00.000000+0100
05/01/2018,8,55.35,2018-01-05,2018-01-05T08:00:00.000000+0100
05/01/2018,9,60.6,2018-01-05,2018-01-05T09:00:00.000000+0100
05/01/2018,10,57.5,2018-01-05,2018-01-05T10:00:00.000000+0100
05/01/2018,11,55.35,2018-01-05,2018-01-05T11:00:00.000000+0100
05/01/2018,12,51.54,2018-01-05,2018-01-05T12:00:00.000000+0100
05/01/2018,13,51.53,2018-01-05,2018-01-05T13:00:00.000000+0100
05/01/2018,14,50.21,2018-01-05,2018-01-05T14:00:00.000000+0100
05/01/2018,15,52.09,2018-01-05,2018-01-05T15:00:00.000000+0100
05/01/2018,16,55.35,2018-01-05,2018-01-05T16:00:00.000000+0100
05/01/2018,17,56.7,2018-01-05,2018-01-05T17:00:00.000000+0100
05/01/2018,18,72.2,2018-01-05,2018-01-05T18:00:00.000000+0100
05/01/2018,19,72.2,2018-01-05,2018-01-05T19:00:00.000000+0100
05/01/2018,20,69.41,2018-01-05,2018-01-05T20:00:00.000000+0100
05/01/2018,21,55.35,2018-01-05,2018-01-05T21:00:00.000000+0100
05/01/2018,22,51.55,2018-01-05,2018-01-05T22:00:00.000000+0100
05/01/2018,23,49.78,2018-01-05,2018-01-05T23:00:00.000000+0100
05/01/2018,24,46.07,2018-01-05,2018-01-06T00:00:00.000000+0100
06/01/2018,1,46.99,2018-01-06,2018-01-06T01:00:00.000000+0100
06/01/2018,2,46.01,2018-01-06,2018-01-06T02:00:00.000000+0100
06/01/2018,3,44.72,2018-01-06,2018-01-06T03:00:00.000000+0100
06/01/2018,4,44.08,2018-01-06,2018-01-06T04:00:00.000000+0100
06/01/2018,5,42.67,2018-01-06,2018-01-06T05:00:00.000000+0100
06/01/2018,6,30.0,2018-01-06,2018-01-06T06:00:00.000000+0100
06/01/2018,7,38.7,2018-01-06,2018-01-06T07:00:00.000000+0100
06/01/2018,8,45.0,2018-01-06,2018-01-06T08:00:00.000000+0100
06/01/2018,9,44.72,2018-01-06,2018-01-06T09:00:00.000000+0100
06/01/2018,10,46.8,2018-01-06,2018-01-06T10:00:00.000000+0100
06/01/2018,11,50.0,2018-01-06,2018-01-06T11:00:00.000000+0100
06/01/2018,12,50.22,2018-01-06,2018-01-06T12:00:00.000000+0100
06/01/2018,13,50.22,2018-01-06,2018-01-06T13:00:00.000000+0100
06/01/2018,14,49.41,2018-01-06,2018-01-06T14:00:00.000000+0100
06/01/2018,15,49.41,2018-01-06,2018-01-06T15:00:00.000000+0100
06/01/2018,16,49.78,2018-01-06,2018-01-06T16:00:00.000000+0100
06/01/2018,17,50.44,2018-01-06,2018-01-06T17:00:00.000000+0100
06/01/2018,18,56.85,2018-01-06,2018-01-06T18:00:00.000000+0100
06/01/2018,19,56.0,2018-01-06,2018-01-06T19:00:00.000000+0100
06/01/2018,20,53.48,2018-01-06,2018-01-06T20:00:00.000000+0100
06/01/2018,21,50.44,2018-01-06,2018-01-06T21:00:00.000000+0100
06/01/2018,22,49.78,2018-01-06,2018-01-06T22:00:00.000000+0100
06/01/2018,23,46.93,2018-01-06,2018-01-06T23:00:00.000000+0100
06/01/2018,24,44.89,2018-01-06,2018-01-07T00:00:00.000000+0100
07/01/2018,1,46.15,2018-01-07,2018-01-07T01:00:00.000000+0100
07/01/2018,2,40.0,2018-01-07,2018-01-07T02:00:00.000000+0100
07/01/2018,3,37.1,2018-01-07,2018-01-07T03:00:00.000000+0100
